rank0,bpm1,nrgy2,dnce3,dB4,live5,val6,dur7,acous8,spch9
8,105,72,72,7,24,67,222,3,7
9,124,79,79,5,10,68,183,1,8
10,101,72,80,3,6,57,201,30,30
11,171,80,51,4,9,35,202,0,6
12,110,41,50,6,11,45,182,75,3
13,192,62,53,7,29,59,204,5,12
14,67,47,59,9,51,90,126,61,5
15,120,42,75,8,7,81,131,64,4
16,202,60,24,8,12,78,152,77,4
17,147,61,33,11,77,40,214,32,3
18,162,56,66,9,8,85,183,50,5
19,142,26,65,13,36,84,155,90,6
20,95,51,77,9,7,77,228,32,3
21,79,21,32,15,14,21,192,92,3
22,131,16,32,16,34,25,177,67,4
23,134,24,45,14,18,70,117,91,4
24,75,18,44,9,32,34,171,96,4
25,117,55,76,6,8,75,191,4,3
26,160,81,51,5,21,69,230,0,5
27,113,28,73,12,12,72,156,76,6
28,129,84,67,4,11,84,126,61,3
29,127,78,57,7,11,70,153,2,3
30,115,64,60,7,10,35,223,16,4
31,95,27,47,17,14,58,129,90,4
32,152,72,68,11,8,96,166,81,9
33,140,93,53,6,31,82,272,10,4
34,131,42,31,9,8,24,242,13,3
35,96,78,75,6,28,77,171,5,14
36,119,65,32,6,24,47,272,50,3
37,140,67,36,8,73,41,268,36,5
38,108,48,74,12,36,95,263,19,3
39,149,86,49,7,35,96,182,53,4
40,147,76,69,5,18,96,144,42,3
41,93,22,33,11,34,36,207,88,3
42,129,71,58,8,82,61,181,26,5
43,147,73,67,7,20,68,255,23,3
44,140,37,67,13,10,86,133,59,3
45,180,58,51,11,18,87,242,36,4
46,151,43,61,9,9,74,122,86,4
47,126,76,34,7,8,36,166,39,5
48,92,77,53,7,32,85,181,40,3
49,123,40,59,7,4,42,172,79,5
50,102,71,76,10,8,96,224,16,3
1,98,59,82,6,15,51,209,69,9
2,120,76,70,3,9,55,215,19,4
3,91,32,76,7,8,57,189,84,5
4,117,60,62,6,46,46,164,5,15
5,150,63,34,7,7,35,241,16,4
6,192,62,53,7,29,59,204,5,12
7,67,47,59,9,51,90,126,61,5
8,120,42,75,8,7,81,131,64,4
9,202,60,24,8,12,78,152,77,4
10,162,56,66,9,8,85,183,50,5
11,147,61,33,11,77,40,214,32,3
12,142,26,65,13,36,84,155,90,6
13,95,51,77,9,7,77,228,32,3
14,79,21,32,15,14,21,192,92,3
15,131,16,32,16,34,25,177,67,4
16,134,24,45,14,18,70,117,91,4
17,75,18,44,9,32,34,171,96,4
18,117,55,76,6,8,75,191,4,3
19,160,81,51,5,21,69,230,0,5
20,113,28,73,12,12,72,156,76,6
21,127,78,57,7,11,70,153,2,3
22,129,84,67,4,11,84,126,61,3
23,115,64,60,7,10,35,223,16,4
24,95,27,47,17,14,58,129,90,4
25,96,78,75,6,28,77,171,5,14
26,140,67,36,8,73,41,268,36,5
27,93,65,64,8,8,55,198,12,19
28,108,48,74,12,36,95,263,19,3
29,149,86,49,7,35,96,182,53,4
30,147,76,69,5,18,96,144,42,3
31,93,22,33,11,34,36,207,88,3
32,140,37,67,13,10,86,133,59,3
33,151,43,61,9,9,74,122,86,4
34,126,76,34,7,8,36,166,39,5
35,82,11,25,14,16,15,268,94,3
36,92,77,53,7,32,85,181,40,3
37,123,40,59,7,4,42,172,79,5
38,102,71,76,10,8,96,224,16,3
39,113,39,85,14,5,45,444,1,6
40,112,62,87,10,5,53,384,4,8
41,114,52,77,14,4,59,439,0,5
42,113,59,91,11,8,14,374,2,6
43,125,70,70,5,8,62,237,27,3
44,124,47,88,7,6,84,343,2,5
45,113,68,91,10,7,41,375,17,6
46,112,72,88,6,5,24,415,5,5
47,114,56,65,7,5,64,463,2,21
48,116,67,90,9,6,34,382,14,9
49,113,63,88,12,10,59,412,15,15
50,115,68,82,8,6,68,353,5,5
1,98,59,82,6,15,51,209,69,9
2,105,72,72,7,24,67,222,3,7
3,101,72,80,3,6,57,201,30,30
4,105,81,79,4,8,61,302,8,9
5,92,67,89,4,10,53,192,4,19
6,94,70,88,4,6,79,200,14,7
7,176,65,75,6,11,43,243,15,32
8,80,84,73,5,18,62,271,2,7
9,176,62,61,5,24,24,251,60,31
10,94,90,66,3,12,71,211,5,4
11,105,67,82,6,10,66,215,5,8
12,146,83,73,3,7,94,179,27,5
13,176,82,73,2,23,68,216,3,15
14,174,64,73,4,14,55,205,9,13
15,92,73,73,3,10,88,217,22,4
16,92,76,78,3,14,58,201,46,23
17,95,75,74,5,11,90,217,18,5
18,182,67,65,6,8,34,250,47,31
19,117,55,76,6,8,75,191,4,3
20,170,71,74,4,8,83,259,5,9
21,92,79,81,4,9,58,309,14,7
22,98,69,88,4,5,75,162,39,12
23,176,79,73,2,6,76,288,7,20
24,94,86,74,3,6,66,193,11,6
25,96,71,78,5,9,68,176,22,28
26,166,72,80,4,18,76,305,14,8
27,127,77,83,4,14,76,238,32,5
28,100,71,87,5,9,59,146,3,13
29,88,65,75,3,11,48,233,11,7
30,96,87,78,3,10,86,166,22,9
31,174,76,71,4,37,72,219,27,29
32,88,67,88,3,7,68,227,11,11
